datetime,prcp,Kejadian,Lokasi,Kabupaten,Penyebab,SMA10,EMA10
2020-02-26,4.1,-,-,-,-,,4.1
2020-03-27,10.9,TANAH LONGSOR,Kec. Cibinong Ds. Nanggewer Kec. Sukaraja Ds. Cilebut Timur,BOGOR,• Akibat hujan disertai struktur tanah yang labil,,5.3
2020-04-10,4.6,-,-,-,-,,5.2
2020-04-29,50.0,-,-,-,-,,13.3
2020-10-27,15.0,-,-,-,-,,13.6
2020-10-30,13.2,TANAH LONGSOR,Kac. Caringin Ds. Pancawati,BOGOR,•Akibat Hujan deras dan tanah yang labil,,13.6
2020-11-22,3.0,-,-,-,-,,11.6
2020-12-13,1.8,-,-,-,-,,9.9
2020-12-21,30.0,-,-,-,-,,13.5
2021-01-03,0.9,TANAH LONGSOR,Kec. Nanggung Ds. Parakan Muncang Kp. Pasir Maung Kp. Baru,BOGOR,Akibat hujan deras yang terus menerus sehingga mengakibatkan beberala unit rumah warga mengalami kerusakan.,13.4,11.2
2021-01-04,15.4,TANAH LONGSOR,Kec. Cigombong Ds. Tugu Jaya Kec. Cigombong Ds. Wates Jaya Ds. Pasir Jaya,BOGOR,• Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil,14.5,12.0
2021-01-05,7.8,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,14.2,11.2
2021-01-06,21.1,TANAH LONGSOR,KEC NANGGUNG,BOGOR,-,15.8,13.0
2021-01-07,8.6,TANAH LONGSOR,KEC CIOMAS,BOGOR,-,11.7,12.2
2021-01-08,2.5,-,-,-,-,10.4,10.4
2021-01-09,13.5,-,-,-,-,10.5,11.0
2021-01-10,10.1,-,-,-,-,11.2,10.8
2021-01-11,22.1,TANAH LONGSOR,KEC BABAKAN MADANG,BOGOR,-,13.2,12.9
2021-01-11,22.1,TANAH LONGSOR,KEC PAMIJAHAN,BOGOR,-,12.4,14.6
2021-01-12,8.7,TANAH LONGSOR,KEC CARINGIN,BOGOR,-,13.2,13.5
2021-01-13,6.2,-,-,-,-,12.3,12.2
2021-01-14,0.8,-,-,-,-,11.6,10.1
2021-01-15,0.4,-,-,-,-,9.5,8.3
2021-01-16,0.7,-,-,-,-,8.7,6.9
2021-01-17,4.7,-,-,-,-,8.9,6.5
2021-01-18,28.4,TANAH LONGSOR,KEC BABAKAN MADANG,BOGOR,-,10.4,10.5
2021-01-18,28.4,TANAH LONGSOR,KEC CIJERUK,BOGOR,-,12.2,13.8
2021-01-19,24.9,-,-,-,-,12.5,15.8
2021-01-20,11.7,TANAH LONGSOR,KEC CISARUA,BOGOR,-,11.5,15.0
2021-01-21,6.8,-,-,-,-,11.3,13.5
2021-01-22,0.2,-,-,-,-,10.7,11.1
2021-01-24,21.1,-,-,-,-,12.7,12.9
2021-01-25,9.4,-,-,-,-,13.6,12.3
2021-01-26,29.6,TANAH LONGSOR,KEC JASINGA,BOGOR,-,16.5,15.4
2021-01-27,0.5,TANAH LONGSOR,KEC JASINGA,BOGOR,-,16.1,12.7
2021-01-28,30.9,TANAH LONGSOR,KEC CIGUDEG,BOGOR,-,16.4,16.0
2021-01-28,30.9,TANAH LONGSOR,Kec. Cigombong Ds. Pasir Jaya,BOGOR,Akibat hujan dengan intensitas tinggi disertai struktur tanah yang labil,16.6,18.7
2021-01-29,18.2,-,-,-,-,15.9,18.6
2021-01-30,20.4,TANAH LONGSOR,Kec. Ciawi Ds. Cipaten,BOGOR,• Akibat hujan deras yang cukup lama mengakibatkan saluran air jebol dan meimpa rumah,16.8,19.0
2021-01-31,12.3,-,-,-,-,17.4,17.7
2021-02-01,7.0,-,-,-,-,18.0,15.8
2021-02-02,15.7,TANAH LONGSOR,Kec. Babakan Madang Ds. Bojong Koneng Kamp. Curug RT. 01 / 09,BOGOR,• Akibat hujan deras dengan durasi yang lama mengakibatkan pergeseran tanah sehingga menyebabkan amblasnya pondasi rumah menyebabkan beberapa rumah warga mengalami kerusakan,17.5,15.8
2021-02-02,15.7,TANAH LONGSOR,"Kec. Cigudeg DS, Cigudeg",BOGOR,Akibat hujan deras dengan intensitas tinggi yang disertai angin kencang.,18.1,15.8
2021-02-03,19.4,TANAH LONGSOR,Kec. Bogor Barat Kel. Curug Kp. Curug Induk,BOGOR,Tanah Longsor terjadi disebabkan oleh curah hujan dengan intensitas tinggi yang mengguyur diwilayah tersebut dan kondisi tanah setempat yang labil.,17.1,16.4
2021-02-04,13.0,TANAH LONGSOR,"Kec. Megamendung DS, Megamendung",BOGOR,Akibat hujan dengan intensitas tinggi yang cukup lama sehingga mengakibatkan  tanah longsor.,18.4,15.8
2021-02-04,13.0,TANAH LONGSOR,KEC CISARUA,BOGOR,-,16.6,15.3
2021-02-05,17.9,TANAH LONGSOR,KEC SUKAMAKMUR,BOGOR,-,15.3,15.8
2021-02-06,41.1,TANAH LONGSOR,KEC MEGAMENDUNG,BOGOR,-,17.6,20.4
2021-02-06,41.1,TANAH LONGSOR,Kec. Sukamakmur Ds. Wargajaya,BOGOR,• Akibat hujan dengan intensitas sedang dan struktur tanah yang labil yang mengakibatkan tembok penahan tanah longsor,19.6,24.1
2021-02-06,41.1,TANAH LONGSOR,KEC CISARUA,BOGOR,-,22.5,27.2
2021-02-07,26.8,TANAH LONGSOR,KEC JASINGA,BOGOR,-,24.5,27.1
2021-02-07,26.8,TANAH LONGSOR,KEC LEUWILIAN,BOGOR,-,25.6,27.1
2021-02-07,26.8,TANAH LONGSOR,Kec. Ciawi Bogor Ds. Bojong Murni Kp. Bojong Murni,BOGOR,• Akibat hujan  yang cukup lama dan tembok penahan tebingan (TPT) yang tidak sesuai spesifikasi akhirnya tidak kuat menahan tebingan berakibat terjadinya longsor,26.7,27.0
2021-02-07,26.8,TANAH LONGSOR,KEC TAMANSARI,BOGOR,-,27.4,27.0
2021-02-07,26.8,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,28.8,27.0
2021-02-07,26.8,TANAH LONGSOR,Kec. Dramaga Ds. Purwasari,BOGOR,hujan dengan intensitas tinggi Yg cukup lama sehingga mengakibatkan tanah penahan tebing jalan Desa longsor,30.2,26.9
2021-02-07,26.8,TANAH LONGSOR,Kec. Nanggung Ds. Parakan,BOGOR,hujan dengan intensitas tinggi Yg cukup lama sehingga mengakibatkan tanah penahan tebing jalan Desa longsor,31.1,26.9
2021-02-07,26.8,TANAH LONGSOR,Kec. Megamendung  Ds. Gadog,BOGOR,• Akibat hujan deras dengan intensitas tinggi yang cukup lama sehingga mengakibatkan tanah longsor menutupi akses jalan setapak dan satu unit rumah mengalami kerusakan,29.7,26.9
2021-02-07,26.8,TANAH LONGSOR,Kec. Ciawi Bogor Ds. Banjarwangi Kp. Kambangan,BOGOR,• Akibat hujan yang cukup lama sehingga mengakibatkan tanah longsor,28.2,26.9
2021-02-07,26.8,TANAH LONGSOR,Kec. Ciawi Ds. Bitungsari,BOGOR,"• Akibat hujan deras dengan intensitas tinggi sehingga menyebabkan pergeseran tanah sepanjang 25 m dengan tinggi tebingan 30 m lebar retakan 15 Cm di Kp. Bitung Kidul RT. 04/03 dan Kp. Bitung Ranji RT. 01/03, dan terjadi longsor di Kp. Bitung Munjul RT. 03/04 dengan panjang longsoran 6 m dan tinggi 10 m.",26.8,26.9
2021-02-07,26.8,TANAH LONGSOR,Kec. Cigudeg Ds. Sukaraksa Kec. Tenjolaya  Ds.  Gunung Mulya,BOGOR,hujan dengan intensitas tinggi,26.8,26.8
2021-02-07,26.8,TANAH LONGSOR,Kec. Cisarua Kel. Cisarua Kp. Anyar,BOGOR,• Akibat hujan dengan intensitas tinggi yang cukup lama sehingga mengakibatkan tebingan pemakaman keluarga Bpk. H.Sayadi longsor,26.8,26.8
2021-02-07,26.8,TANAH LONGSOR,Kec. Ciampea Ds. Bojong jengkol,BOGOR,• Hujan dengan intensitas lebat dan mengakibatkan tanah menjadi labil,26.8,26.8
2021-02-08,23.1,TANAH LONGSOR,Kec. Tamansari Ds. Sukaluyu   Kec. Sukamakmur  Sukawangi,BOGOR,"Akibat hujan deras yang terus menerus mengakibatkan Longsornya TPT dengan Tinggi 4 m, Lebar 10 m",26.4,26.2
2021-02-08,23.1,TANAH LONGSOR,KEC CIBINONG,BOGOR,-,26.1,25.6
