Time,SensorID,Rainfall,EMA10,Predict
2020-02-26,8,4.10,4.10,Safe
2020-03-27,9,10.90,5.30,Safe
2020-04-10,7,4.60,5.20,Safe
2020-04-29,6,50.00,13.30,Medium
2020-10-27,10,15.00,13.60,Safe
2020-10-30,12,13.20,13.60,Safe
2020-11-22,1,3.00,11.60,Safe
2020-12-13,5,1.80,9.90,Safe
2020-12-21,11,30.00,13.50,Medium
2021-01-03,2,0.90,11.20,Safe
2021-01-04,4,15.40,12.00,Safe
2021-01-05,3,7.80,11.20,Safe
2021-01-06,7,21.10,13.00,Safe
2021-01-07,5,8.60,12.20,Safe
2021-01-08,4,2.50,10.40,Safe
2021-01-09,2,13.50,11.00,Safe
2021-01-10,3,10.10,10.80,Safe
2021-01-11,8,22.10,12.90,Safe
2021-01-11,1,22.10,14.60,Medium
2021-01-12,12,8.70,13.50,Safe
2021-01-13,9,6.20,12.20,Safe
2021-01-14,10,0.80,10.10,Safe
2021-01-15,11,0.40,8.30,Safe
2021-01-16,6,0.70,6.90,Safe
2021-01-17,7,4.70,6.50,Safe
2021-01-18,4,28.40,10.50,Medium
2021-01-18,5,28.40,13.80,Medium
2021-01-19,1,24.90,15.80,Medium
2021-01-20,10,11.70,15.00,Medium
2021-01-21,9,6.80,13.50,Safe
2021-01-22,3,0.20,11.10,Safe
2021-01-24,8,21.10,12.90,Safe
2021-01-25,2,9.40,12.30,Safe
2021-01-26,11,29.60,15.40,High
2021-01-27,12,0.50,12.70,Safe
2021-01-28,6,30.90,16.00,High
2021-01-28,4,30.90,18.70,High
2021-01-29,7,18.20,18.60,Medium
2021-01-30,9,20.40,19.00,Medium
2021-01-31,3,12.30,17.70,Medium
2021-02-01,10,7.00,15.80,Medium
2021-02-02,5,15.70,15.80,Medium
2021-02-02,12,15.70,18.10,Medium
2021-02-03,1,19.40,16.40,Medium
2021-02-04,8,13.00,18.40,Medium
2021-02-04,11,13.00,15.30,Medium
2021-02-05,2,17.90,15.80,Medium
2021-02-06,9,41.10,20.40,High
2021-02-06,6,41.10,24.10,High
2021-02-06,7,41.10,27.20,High
2021-02-07,5,26.80,27.10,High
2021-02-07,4,26.80,27.10,High
2021-02-07,10,26.80,27.00,High
2021-02-07,1,26.80,27.00,High
2021-02-07,12,26.80,27.00,High
2021-02-07,3,26.80,26.90,High
2021-02-07,11,26.80,26.90,High
2021-02-07,8,26.80,26.90,High
2021-02-07,5,26.80,26.90,High
2021-02-07,4,26.80,26.80,High
2021-02-07,9,26.80,26.80,High
2021-02-07,2,26.80,26.80,High
2021-02-07,1,26.80,26.80,High
2021-02-08,6,23.10,26.40,Medium
2021-02-08,7,23.10,25.60,Medium
2021-02-08,12,23.10,25.10,Medium
2021-02-08,10,23.10,25.30,Medium
2021-02-08,11,23.10,24.50,Medium
2021-02-08,8,23.10,24.20,Medium
2021-02-08,3,23.10,24.00,Medium
2021-02-08,5,23.10,23.80,Medium
2021-02-08,4,23.10,23.70,Medium
2021-02-09,9,13.40,21.80,Medium
2021-02-09,2,13.40,20.30,Medium
2021-02-10,6,15.30,19.40,Medium
2021-02-11,12,10.10,17.70,Medium
2021-02-11,1,10.10,16.30,Medium
2021-02-11,10,10.10,15.20,Medium
2021-02-12,8,8.40,14.00,Safe
2021-02-13,7,4.60,12.30,Safe
2021-02-14,11,4.40,10.80,Safe
2021-02-15,3,5.30,9.80,Safe
2021-02-16,5,13.90,10.60,Safe
2021-02-17,9,7.00,9.90,Safe
2021-02-18,4,11.50,10.20,Safe
2021-02-19,6,26.60,13.20,Medium
2021-02-19,2,26.60,15.60,High
2021-02-19,8,26.60,17.60,High
2021-02-20,1,31.80,20.20,High
2021-02-20,12,31.80,22.30,High
2021-02-20,10,31.80,24.00,High
2021-02-20,7,31.80,25.40,High
2021-02-20,5,31.80,26.60,High
2021-02-20,11,31.80,28.20,High
2021-02-21,4,7.20,23.80,Medium
2021-02-21,3,7.20,25.80,Medium
2021-02-21,8,7.20,18.30,Medium
2021-02-21,9,7.20,16.30,Medium
2021-02-21,1,7.20,14.70,Medium
2021-02-21,2,7.20,13.30,Safe
2021-02-22,7,3.70,11.60,Safe
2021-02-22,6,3.70,11.40,Safe
2021-02-22,5,3.70,9.00,Safe
2021-02-23,10,1.10,7.50,Safe
2021-02-23,12,1.10,6.40,Safe
2021-02-24,4,10.40,7.10,Safe
2021-02-24,3,10.40,7.70,Safe
2021-02-24,1,10.40,8.20,Safe
2021-02-25,11,21.20,7.30,Safe
2021-02-25,9,21.20,12.50,Safe
2021-02-26,7,21.00,14.00,Safe
2021-02-27,8,30.30,17.00,High
2021-02-27,6,30.30,19.40,High
2021-02-28,4,2.20,16.30,Medium
2021-03-01,2,3.90,14.00,Safe
2021-03-01,12,3.90,12.20,Safe
2021-03-02,5,8.40,11.50,Safe
2021-03-03,10,3.70,10.10,Safe
2021-03-03,9,3.70,8.90,Safe
2021-03-04,3,5.20,8.20,Safe
2021-03-04,1,5.20,7.70,Safe
2021-03-05,11,13.20,8.70,Safe
2021-03-06,7,4.70,8.00,Safe
2021-03-06,8,4.70,7.40,Safe
2021-03-07,10,3.80,6.70,Safe
2021-03-08,4,11.00,7.50,Safe
2021-03-09,9,2.90,6.70,Safe
2021-03-10,6,4.30,6.20,Safe
2021-03-11,5,5.90,6.20,Safe
2021-03-11,12,5.90,6.20,Safe
2021-03-12,2,11.70,7.10,Safe
2021-03-13,11,3.80,6.50,Safe
2021-03-14,3,11.50,7.40,Safe
2021-03-15,7,3.50,6.70,Safe
2021-03-15,1,3.50,6.10,Safe
2021-03-16,8,24.80,9.50,Safe
2021-03-17,4,18.10,11.10,Safe
2021-03-18,3,99.00,27.10,High
2021-03-19,2,10.90,24.10,Medium
2021-03-20,6,2.10,20.10,Medium
2021-03-21,5,4.40,17.30,Medium
2021-03-22,10,10.30,16.00,Medium
2021-03-23,9,2.30,13.50,Safe
2021-03-24,12,14.20,13.60,Safe
2021-03-25,11,29.10,16.40,High
2021-03-26,7,1.80,13.80,Safe
2021-03-27,8,45.10,19.50,High
2021-03-28,4,15.00,18.70,Medium
2021-03-29,1,10.20,17.10,Medium
2021-03-30,6,19.80,17.60,Medium
2021-03-31,10,61.80,25.60,High
2021-04-01,9,42.70,28.70,High
2021-04-02,2,5.10,24.40,Medium
2021-04-03,5,59.40,30.80,High
2021-04-03,7,59.40,36.00,High
2021-04-04,12,3.50,30.10,Medium
2021-04-05,3,2.00,25.00,Medium
2021-04-06,8,10.60,22.40,Medium
2021-04-07,1,8.50,19.80,Medium
2021-04-08,4,4.10,17.00,Medium
2021-04-09,11,3.70,14.60,Medium
2021-04-10,2,2.70,12.40,Safe
2021-04-11,6,79.00,24.50,High
2021-04-11,12,79.00,34.40,High
2021-04-12,9,9.70,29.90,Medium
2021-04-13,5,8.10,26.00,Medium
2021-04-14,3,36.10,27.80,High
2021-04-15,10,33.80,28.90,High
2021-04-16,7,10.00,25.50,Medium
2021-04-17,1,9.30,22.50,Medium
2021-04-18,8,17.80,21.70,Medium
2021-04-19,9,27.70,22.80,High
2021-04-20,6,3.70,19.30,Medium
2021-04-21,11,3.80,16.50,Medium
2021-04-22,12,3.00,14.00,Safe
2021-04-22,4,3.00,12.00,Safe
2021-04-23,2,1.40,10.10,Safe
2021-04-24,10,3.00,8.80,Safe
2021-04-25,7,5.10,8.10,Safe
2021-04-26,3,4.70,7.50,Safe
2021-04-27,5,7.30,7.50,Safe
2021-04-27,9,7.30,7.40,Safe
2021-04-27,1,7.30,7.40,Safe
2021-04-27,6,7.30,7.40,Safe
2021-04-28,2,27.30,11.00,Medium
2021-04-28,8,27.30,14.00,Medium
2021-04-28,4,27.30,16.40,High
2021-04-28,12,27.30,18.40,High
2021-04-28,11,27.30,20.00,High
2021-04-28,3,27.30,21.30,High
2021-04-29,10,5.30,18.40,Medium
2021-04-30,1,5.20,16.00,Medium
2021-05-01,7,2.00,13.50,Safe
2021-05-02,5,4.00,11.70,Safe
2021-05-03,9,3.00,10.20,Safe
2021-05-04,6,8.50,9.90,Safe
2021-05-05,4,15.20,10.80,Safe
2021-05-06,12,42.80,14.10,High
2021-05-07,8,7.10,14.90,Medium
2021-05-07,2,7.10,13.50,Safe
2021-05-07,11,7.10,12.30,Safe
2021-05-07,10,7.10,11.40,Safe
2021-05-07,7,7.10,10.60,Safe
2021-05-08,1,11.10,10.70,Safe
2021-05-08,5,11.10,10.80,Safe
2021-05-08,12,11.10,10.80,Safe
2021-05-08,3,11.10,10.90,Safe
2021-05-08,9,11.10,10.90,Safe
2021-05-08,8,11.10,10.90,Safe
2021-05-08,4,11.10,11.00,Safe
2021-05-09,6,57.50,19.40,High
2021-05-09,2,57.50,20.00,High
2021-05-09,11,57.50,32.00,High
2021-05-09,1,57.50,36.70,High
2021-05-10,7,7.20,31.30,Medium
2021-05-10,10,7.20,26.90,Medium
2021-05-10,12,7.20,23.30,Medium
2021-05-10,5,7.20,20.40,Medium
2021-05-11,3,5.90,17.80,Medium
2021-05-12,9,6.00,15.60,Medium
2021-05-13,4,3.60,13.40,Safe
2021-05-14,2,5.30,12.00,Safe
2021-05-15,8,12.80,12.10,Safe
2021-05-15,6,12.80,12.20,Safe
2021-05-15,11,12.80,12.30,Safe
2021-05-15,7,12.80,12.40,Safe
2021-05-16,5,24.40,14.60,Medium
2021-05-16,10,24.40,16.40,Medium
2021-05-16,1,24.40,17.80,Medium
2021-05-16,2,24.40,19.00,Medium
2021-05-17,12,7.10,16.90,Medium
2021-05-17,4,7.10,15.10,Medium
2021-05-17,3,7.10,13.60,Safe
2021-05-17,8,7.10,12.40,Safe
2021-05-17,9,7.10,11.50,Safe
2021-05-18,6,20.50,13.10,Safe
2021-05-19,5,4.50,11.50,Safe
2021-05-19,7,4.50,10.30,Safe
2021-05-19,11,4.50,9.20,Safe
2021-05-19,10,4.50,8.40,Safe
2021-05-19,1,4.50,7.70,Safe
2021-05-19,12,4.50,7.10,Safe
2021-05-20,4,4.70,6.70,Safe
2021-05-20,8,4.70,6.30,Safe
2021-05-20,11,4.70,6.00,Safe
2021-05-20,2,4.70,5.80,Safe
2021-05-21,7,7.80,6.10,Safe
2021-05-21,1,7.80,6.40,Safe
2021-05-21,10,7.80,0.00,Safe
2021-05-22,5,9.50,7.20,Safe
2021-05-23,3,4.80,6.80,Safe
2021-05-24,9,15.90,8.40,Safe
2021-05-25,6,37.30,13.70,Medium
2021-05-26,11,2.20,11.60,Safe
2021-05-27,4,1.10,9.70,Safe
2021-05-28,12,4.20,8.70,Safe
2021-05-29,7,18.00,10.40,Safe
2021-05-29,10,18.00,11.80,Safe
